image_id,product_identity,split,cv_fold
kaggle_fake_real_medicine_d19535b707,pid_00719,val,
kaggle_fake_real_medicine_a58ecabd64,pid_00720,train,0
kaggle_fake_real_medicine_723e06f544,pid_00721,test,
kaggle_fake_real_medicine_14a03230bc,pid_00722,val,
kaggle_fake_real_medicine_7fc16503ca,pid_00723,val,
kaggle_fake_real_medicine_c6ba8a80c3,pid_00724,train,2
kaggle_fake_real_medicine_f6acf6a716,pid_00125,train,4
kaggle_fake_real_medicine_37dd21b625,pid_00722,val,
kaggle_fake_real_medicine_634b90547f,pid_00725,train,2
kaggle_fake_real_medicine_f54ad28d36,pid_00726,val,
kaggle_fake_real_medicine_03758866d1,pid_00727,train,3
kaggle_fake_real_medicine_a92fedd746,pid_00096,val,
kaggle_fake_real_medicine_3889901ff7,pid_00728,train,3
kaggle_fake_real_medicine_c9ccae27b6,pid_00395,train,3
kaggle_fake_real_medicine_064eef0a38,pid_00011,train,3
kaggle_fake_real_medicine_4e1528088f,pid_00014,test,
kaggle_fake_real_medicine_41d91fd70e,pid_00413,test,
kaggle_fake_real_medicine_08629202de,pid_00729,test,
kaggle_fake_real_medicine_52a8894c41,pid_00730,train,2
kaggle_fake_real_medicine_dd92c2e4a5,pid_00036,train,1
kaggle_fake_real_medicine_5f48d16d3e,pid_00037,val,
kaggle_fake_real_medicine_498236eef1,pid_00372,train,4
kaggle_fake_real_medicine_c6b95f95ba,pid_00381,train,4
kaggle_fake_real_medicine_0da2fb4dcb,pid_00731,train,3
kaggle_fake_real_medicine_e62479c215,pid_00121,train,3
kaggle_fake_real_medicine_9634cbbb20,pid_00155,train,3
kaggle_fake_real_medicine_145d2c296f,pid_00088,train,4
kaggle_fake_real_medicine_723bdb51d5,pid_00091,test,
kaggle_fake_real_medicine_931d335b95,pid_00285,train,0
kaggle_fake_real_medicine_6dc1adea82,pid_00390,train,4
kaggle_fake_real_medicine_0f1da8661b,pid_00416,train,4
kaggle_fake_real_medicine_260aa8b769,pid_00174,test,
kaggle_fake_real_medicine_a20ef0b473,pid_00411,train,2
kaggle_fake_real_medicine_87f5f98f0c,pid_00396,val,
kaggle_fake_real_medicine_567fc3ef14,pid_00732,train,3
kaggle_fake_real_medicine_90afd1731c,pid_00733,val,
kaggle_fake_real_medicine_d0816cba6c,pid_00734,train,2
kaggle_fake_real_medicine_6782864159,pid_00379,train,1
kaggle_fake_real_medicine_c883f02b57,pid_00735,train,0
kaggle_fake_real_medicine_8d5b23aaf2,pid_00736,train,1
kaggle_fake_real_medicine_7f88abef70,pid_00382,train,2
kaggle_fake_real_medicine_32d9964ea4,pid_00181,train,1
kaggle_fake_real_medicine_274547355e,pid_00375,val,
kaggle_fake_real_medicine_8ba1bbcf93,pid_00737,train,3
kaggle_fake_real_medicine_9c1aa55ecd,pid_00404,train,0
kaggle_fake_real_medicine_5c6752c37c,pid_00738,train,2
kaggle_fake_real_medicine_fd0f521efb,pid_00380,train,2
kaggle_fake_real_medicine_85c7cfa357,pid_00177,test,
kaggle_fake_real_medicine_eb8ba6c808,pid_00214,train,0
kaggle_fake_real_medicine_af8a40e59f,pid_00739,test,
kaggle_fake_real_medicine_f88e912cf7,pid_00077,test,
kaggle_fake_real_medicine_a802339ac8,pid_00133,val,
kaggle_fake_real_medicine_6a91088f08,pid_00115,test,
kaggle_fake_real_medicine_1a4671782c,pid_00085,train,3
kaggle_fake_real_medicine_bc430dd8f0,pid_00378,train,4
kaggle_fake_real_medicine_e33cdd1fc3,pid_00399,train,3
kaggle_fake_real_medicine_970808fae3,pid_00271,train,0
kaggle_fake_real_medicine_95ff935025,pid_00088,train,4
kaggle_fake_real_medicine_378059a366,pid_00740,test,
kaggle_fake_real_medicine_6e3f150413,pid_00165,val,
kaggle_fake_real_medicine_293391e3c5,pid_00741,train,4
kaggle_fake_real_medicine_e9a3909e2a,pid_00384,train,4
kaggle_fake_real_medicine_e8624b6733,pid_00742,train,0
kaggle_fake_real_medicine_634456e7d6,pid_00396,val,
kaggle_fake_real_medicine_a9d0136474,pid_00229,train,3
kaggle_fake_real_medicine_0222936a5e,pid_00162,train,0
