model,image_id,predicted,correct,prob_authentic,border_mass_fraction,centre_mass_fraction
model4_efficientnetb0_frozen,mendeley_split_c_00137,authentic,1,0.9811,0.5868,0.191
model4_efficientnetb0_frozen,mendeley_split_c_00138,counterfeit,0,0.1914,0.8173,0.0492
model4_efficientnetb0_frozen,mendeley_split_c_00139,authentic,1,0.7734,0.3366,0.4238
model4_efficientnetb0_frozen,mendeley_split_c_00140,authentic,1,0.8453,0.531,0.3084
model4_efficientnetb0_frozen,mendeley_split_c_00141,authentic,1,0.8256,0.511,0.4544
model4_efficientnetb0_frozen,mendeley_split_c_00142,authentic,1,0.9351,0.8043,0.0894
model4_efficientnetb0_frozen,mendeley_split_c_00143,authentic,1,0.9416,0.7137,0.2405
model4_efficientnetb0_frozen,mendeley_split_c_00144,authentic,1,0.7254,0.7019,0.1079
model4_efficientnetb0_frozen,mendeley_split_c_00145,authentic,1,0.9415,0.4504,0.3555
model4_efficientnetb0_frozen,mendeley_split_c_00146,authentic,1,0.8275,0.675,0.2206
model4_efficientnetb0_frozen,mendeley_split_c_00147,counterfeit,0,0.4723,0.9342,0.0
model4_efficientnetb0_frozen,mendeley_split_c_00148,authentic,1,0.8739,0.8014,0.0314
model4_efficientnetb0_frozen,mendeley_split_c_00149,authentic,1,0.8931,0.659,0.1413
